Upc,Department,qty,cents,incltaxes,inclfees,Name,proper Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
842426149334,Tabbocco,1,149,n,n,SWT WOOD WRAP RUSSIAN CRM 2'S,SWT WOOD WRAP Russian CRM 2'S,BX,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842426154949,Tabbocco,1,149,n,n,woodscigar,Woodscigar,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
842426155069,Tabbocco,1,149,n,n,Woods leaf,Woods Leaf,2,,n,1,0,0,n,,0,,,,,,n,,,,,,,
842426160285,Tabbocco,1,129,n,n,Good times sweet,Good Times Sweet,2pk,,n,1,0,0,n,,-90,,,,,0,n,,,,,,,
842426160315,Tabbocco,1,129,n,n,Good times green sweet,Good Times Green Sweet,2pk,,n,1,0,0,n,,-251,,,,,0,n,,,,,,,
842426160346,Tabbocco,1,129,n,n,Good times diamond,Good Times Diamond,2pk,,n,1,0,0,n,,-157,,,,,0,n,,,,,,,
842426160377,Tabbocco,1,129,n,n,Good times white grape,Good Times White Grape,2pk,,n,1,0,0,n,,-94,,,,,0,n,,,,,,,
842426160407,Tabbocco,1,129,n,n,Good times watermelon,Good Times Watermelon,2pk,,n,1,0,0,n,,-120,,,,,0,n,,,,,,,
842426160438,Tabbocco,1,129,n,n,Good times,Good Times,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842426160483,Tabbocco,1,119,n,n,Good time,Good Time,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
842426160537,Tabbocco,1,119,n,n,Good time,Good Time,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
842426161602,Tabbocco,1,129,n,n,Good times kash,Good Times Kash,2pk,,n,1,0,0,n,,-62,,,,,0,n,,,,,,,
842595106534,Energy Drink,1,249,n,n,C4 TROPICAL,C4 Tropical,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595106558,Energy Drink,1,199,n,n,C4 TWISTED LIME,C4 Twisted LIME,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595106572,Energy Drink,1,329,n,n,C4 STRWBERRY,C4 Strwberry,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595106596,Energy Drink,1,329,n,n,C4 FROZEN BOMBSICL,C4 Frozen Bombsicl,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595106619,Energy Drink,1,329,n,n,C4 ARCTIC SNOW CONE ,C4 Arctic SNOW CONE,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595109238,Energy Drink,1,299,n,n,C4 PURPLE,C4 Purple,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595109368,Energy Drink,1,199,n,n,C4 ORANGE,C4 Orange,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595109542,Energy Drink,1,329,n,n,C4,C4,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595111095,Energy Drink,1,299,n,n,C4 CHERRY ,C4 Cherry,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595114997,Energy Drink,1,249,n,n,C4,C4,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
842595116243,Energy Drink,1,299,n,n,C4,C4,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
842595116267,Energy Drink,1,299,n,n,C4 superbrain,C4 Superbrain,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
842595116274,Energy Drink,1,299,n,n,C4,C4,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
842595117080,Energy Drink,1,249,n,n,C4 smart energy peach mango,C4 Smart Energy Peach Mango,12oz,y,n,1,0,0,n,,-6,,,,,0,n,,,,,,,
842595118896,Energy Drink,1,299,n,n,C4,C4,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
842595118919,Energy Drink,1,299,n,n,C4 icy blue razz,C4 Icy Blue Razz,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
842595119831,Energy Drink,1,299,n,n,C4 Smart Energy cherry berry lime,C4 Smart Energy Cherry Berry Lime,12oz,y,n,1,0,0,n,,-11,,,,,0,n,,,,,,,
842595121650,Food,1,299,n,n,C4,C4,16oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
842595121759,Energy Drink,1,329,n,n,C4 energy,C4 Energy,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
